Comment,Designator,Quantity,Qty 10,Supplier Part Number 1
AA Holder,"BAT1, BAT2, BAT3, BAT4",4,40,36-590-ND
AA Holder,"BAT1, BAT2, BAT3, BAT4",4,40,36-596-ND
Capacitor,"C1A, C1B, C1C, C2A, C2B, C2C, C4, C5, C6, C10",10,100,311-1343-1-ND
Capacitor,"C3, C7, C8, C9",4,40,1276-1192-1-ND
ScrewTerminal_1x2,CON1,1,10,277-1667-ND
20021521-00010D4LF,CON2,1,10,609-6533-ND
RED,LED1,1,10,160-1447-6-ND
VDMR10A0,"M1A, M1B, M1C",3,30,VDMR10A0CT-ND
PTA4543-2010CIB103,POT1,1,10,PTA4543-2010CIB103-ND
Resistor,"R1A, R1B, R1C, R6, R7",5,50,YAG1304CT-ND
Resistor,R2,1,10,311-470HRCT-ND
Resistor,"R3, R8, R9, R10, R11",5,50,311-10.0KHRCT-ND
Resistor,"R4, R5",2,20,311-1.00KHRCT-ND
EG1213,SW1,1,10,EG1906-ND
RCU-0C,"TG1, TG2, TG3, TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",12,120,A106145CT-ND
STP08DP05TTR,"U1A, U1B, U1C",3,30,497-6029-1-ND
CPC1002NTR,U2,1,10,CLA230CT-ND
STM32G030F6P6,U3,1,10,497-STM32G030F6P6-ND
TMP117MAIDRVR,U4,1,10,296-51835-1-ND
AP2114H-3.3TRG1,U5,1,10,AP2114H-3.3TRG1DICT-ND
NUP4114HMR6T1G,U6,1,10,NUP4114HMR6T1GOSCT-ND
